state_code,semiconductor,wireless,cloud,mobile,ecommerce,social,gaming,food,health,finance,travel,security,analy
AK,0,0,0,0,1,0,0,0,0,0,0,0,0
AL,0,0,2,5,5,4,0,2,3,0,1,0,0
AR,0,0,0,6,2,8,0,1,1,0,0,1,1
AZ,0,7,8,35,11,41,4,1,8,1,8,5,13
CA,27,101,457,1277,292,1433,128,86,233,101,136,183,366
CO,2,4,35,59,15,72,3,5,9,3,13,13,23
CT,0,1,6,21,8,19,1,2,7,1,6,3,3
DC,0,2,9,24,4,36,2,4,6,3,2,8,13
DE,0,2,3,9,6,11,0,1,3,1,5,3,9
FL,0,6,32,115,44,164,6,11,38,13,25,29,23
GA,1,2,24,69,18,74,9,6,13,7,11,13,17
HI,0,0,0,3,1,3,0,0,2,0,2,0,0
IA,0,0,3,7,1,13,1,0,6,0,0,0,2
ID,0,1,1,4,2,4,0,2,1,0,1,2,4
IL,0,2,33,88,53,121,7,16,29,17,14,13,30
IN,0,2,8,10,2,22,1,3,4,1,1,6,2
KS,0,2,1,11,4,5,1,1,2,2,0,5,1
KY,0,0,3,13,3,19,0,0,5,1,0,2,3
LA,0,0,1,2,3,7,0,1,4,2,0,0,1
MA,1,13,54,146,27,153,9,11,49,12,14,46,84
MD,1,3,17,33,12,41,3,3,12,2,5,12,14
ME,0,1,0,4,1,4,1,0,0,0,1,1,0
MI,0,3,12,29,14,39,0,5,16,6,2,7,8
MN,1,2,12,21,4,23,1,2,13,1,4,9,10
MO,0,2,10,28,7,19,1,4,6,1,1,4,9
MS,0,0,0,0,0,1,2,0,0,0,0,0,1
MT,0,0,2,2,1,4,0,0,0,0,0,1,0
NC,1,3,17,45,17,44,4,4,22,2,4,8,15
ND,0,0,1,0,1,2,0,0,0,0,0,0,0
NE,0,0,0,8,4,11,1,2,5,0,1,1,4
NH,0,0,8,10,4,15,0,1,1,0,0,5,7
NJ,0,4,17,47,25,62,3,5,19,4,13,9,17
NM,0,0,0,2,1,2,0,0,0,0,0,0,1
NV,0,2,5,23,9,42,9,1,3,2,6,2,4
NY,0,14,86,396,162,549,43,43,102,63,73,29,135
OH,1,3,13,38,17,46,1,3,13,2,5,10,12
OK,0,0,0,12,0,8,2,0,2,0,2,3,1
OR,2,5,15,31,13,34,0,2,10,1,5,9,15
PA,1,6,22,61,21,76,9,1,23,4,8,15,25
RI,0,1,1,8,2,11,1,0,3,2,1,1,5
SC,0,0,2,6,4,12,0,0,3,0,1,2,2
SD,0,1,0,0,0,1,0,0,1,0,0,0,0
TN,0,2,8,19,5,27,2,3,17,4,2,4,7
TX,3,20,57,152,49,194,6,6,37,19,19,33,54
UT,0,1,14,25,15,44,0,1,12,2,3,3,8
VA,0,7,23,53,12,83,5,4,10,8,9,18,27
VT,0,0,2,6,4,4,0,1,1,0,2,0,3
WA,2,11,34,110,28,144,12,12,23,6,15,13,37
WI,0,0,6,17,5,10,1,2,6,1,2,3,3
WV,0,0,0,2,0,1,0,0,0,0,0,0,0
WY,0,0,1,0,0,3,0,0,0,1,0,1,0
